studentID,courseName,optionName
B10901057,十選二實驗,電力電子
B11901168,十選二實驗,電力電子
B11901024,十選二實驗,電力電子
B11507004,十選二實驗,電力電子
B10901160,十選二實驗,電力電子
B11901009,十選二實驗,電力電子
B10901193,十選二實驗,電力電子
B11901061,十選二實驗,電力電子
B10901083,十選二實驗,電力電子
B11504024,十選二實驗,電力電子
B10901106,十選二實驗,電力電子
B10901154,十選二實驗,電力電子
B11901007,十選二實驗,電力電子
B10901047,十選二實驗,電力電子
B10901143,十選二實驗,電力電子
B11901082,十選二實驗,電力電子
B10901023,十選二實驗,電力電子
B11901048,十選二實驗,電力電子
B08901088,十選二實驗,電力電子
B11901060,十選二實驗,電力電子
B10901146,十選二實驗,電力電子
B10901049,十選二實驗,電力電子
B10901104,十選二實驗,電力電子
B09502075,十選二實驗,電力電子
B11901151,十選二實驗,自動控制
B11901091,十選二實驗,自動控制
B10501061,十選二實驗,自動控制
B11901188,十選二實驗,自動控制
B11901036,十選二實驗,自動控制
B10901162,十選二實驗,自動控制
B11901033,十選二實驗,自動控制
B11901154,十選二實驗,自動控制
B10502013,十選二實驗,自動控制
B11502085,十選二實驗,自動控制
B10901073,十選二實驗,自動控制
B12504114,十選二實驗,自動控制
B11901177,十選二實驗,自動控制
B10901103,十選二實驗,自動控制
B10901071,十選二實驗,自動控制
B10901044,十選二實驗,自動控制
B11901052,十選二實驗,自動控制
B11901103,十選二實驗,自動控制
B11901072,十選二實驗,自動控制
B11901085,十選二實驗,自動控制
B11505031,十選二實驗,自動控制
B11901092,十選二實驗,自動控制
B11502073,十選二實驗,自動控制
B11901038,十選二實驗,自動控制
B11202010,十選二實驗,自動控制
B11901143,十選二實驗,嵌入式系統
B10901114,十選二實驗,嵌入式系統
B11901101,十選二實驗,嵌入式系統
B11901034,十選二實驗,嵌入式系統
B10504032,十選二實驗,嵌入式系統
B11901032,十選二實驗,嵌入式系統
B10901034,十選二實驗,嵌入式系統
B10901158,十選二實驗,嵌入式系統
B10901187,十選二實驗,嵌入式系統
B10901172,十選二實驗,嵌入式系統
B10901076,十選二實驗,嵌入式系統
B10901195,十選二實驗,嵌入式系統
B10901184,十選二實驗,嵌入式系統
B10901043,十選二實驗,嵌入式系統
B10504012,十選二實驗,嵌入式系統
B11901059,十選二實驗,嵌入式系統
B11901079,十選二實驗,嵌入式系統
B11901140,十選二實驗,嵌入式系統
B11901081,十選二實驗,嵌入式系統
B10901038,十選二實驗,嵌入式系統
B11901150,十選二實驗,嵌入式系統
B09602017,十選二實驗,嵌入式系統
B11901148,十選二實驗,嵌入式系統
B10502056,十選二實驗,嵌入式系統
B11901144,十選二實驗,電磁波
B11203014,十選二實驗,電磁波
B10901150,十選二實驗,電磁波
B10901026,十選二實驗,電磁波
B10901131,十選二實驗,電磁波
B10901155,十選二實驗,電磁波
B09901088,十選二實驗,電磁波
B11901004,十選二實驗,電磁波
B11901155,十選二實驗,電磁波
B11901172,十選二實驗,電磁波
B10901030,十選二實驗,電磁波
B11901041,十選二實驗,電磁波
B11901141,十選二實驗,電磁波
B11901157,十選二實驗,電磁波
B10901185,十選二實驗,電磁波
B11901075,十選二實驗,電磁波
B10901101,十選二實驗,電磁波
B11901001,十選二實驗,電磁波
B10901077,十選二實驗,電磁波
B11901163,十選二實驗,電磁波
B09901175,十選二實驗,電磁波
B10901022,十選二實驗,電磁波
B11901100,十選二實驗,電磁波
B10901099,十選二實驗,電磁波
B11508006,十選二實驗,半導體
B11901068,十選二實驗,半導體
B11901189,十選二實驗,半導體
B10901072,十選二實驗,半導體
B10901040,十選二實驗,半導體
B08501087,十選二實驗,半導體
B09901057,十選二實驗,半導體
B11901097,十選二實驗,半導體
B09504085,十選二實驗,半導體
B10901175,十選二實驗,半導體
B10901182,十選二實驗,半導體
B10502139,十選二實驗,半導體
B11901067,十選二實驗,半導體
B10901005,十選二實驗,半導體
B11901077,十選二實驗,通信專題
B10901014,十選二實驗,通信專題
B10901107,十選二實驗,通信專題
B11901047,十選二實驗,通信專題
B10901148,十選二實驗,通信專題
